物品ID	物品名称	UI图标	场景图标	物品描述	物品类型	购买后等待时间	购买前等待时间	
key:true		活动时间			1-金币\n2-钻石\n3-经验\n4-体力\n5-成就点\n6-鱼\n7-花\n8-宠物经验\n11-技能点\n12-金币x2buff	等于消费动画时间\n（搓澡、泡澡、洗头等）	单位为秒	
key:true	data_unique:true	data_not_empty:true	data_not_empty:true	data_not_empty:true	data_not_empty:true	empty_skip:true\nnum{range:"2->3" apply:"6"}\nnum{range:"3->4" apply:"7"}	empty_skip:true\nrange:"1->2"	
1	钞票	com_pic_jinbi	com_pic_jinbi	游戏币，可购买游戏内的道具	1			
2	钻石	com_pic_zuanshi	com_pic_zuanshi	充值获得，可购买游戏内道具	2			
3	经验	icon_jingyan	icon_jingyan	澡堂升级所需经验	3			
4	体力	com_pic_nengliang	com_pic_nengliang	招揽客人消耗体力	4			
5	成就点	icon_chengjiu	icon_chengjiu	成就点	5			
6	宠物经验	com_pic_cwexp	com_pic_cwexp	宠物升级所需经验	8			
100	钞票(大)	gxhd_jinbi	gxhd_jinbi	游戏币，可购买游戏内的道具	1			
101	小游戏人气	whtd_pic_manyidu	whtd_pic_manyidu	小游戏人气	101			
2001	普通技能点	chengjiu_shop_9001	chengjiu_shop_9001	普通技能点	11			
2002	高级技能点	chengjiu_shop_9002	chengjiu_shop_9002	高级技能点	11			
2003	特级技能点	chengjiu_shop_9009	chengjiu_shop_9009	特级技能点	11			
3001	收益翻倍	gxhd_shouyi	gxhd_shouyi	收益翻倍	12			
1011	锦鲤 Lv.1	jiayuan_item_yu1	jiayuan_item_yu1	售卖可获得钻石，有几率获得钞票，升级后奖励提高。	6	2	1	
1012	锦鲤 Lv.2	jiayuan_item_yu1	jiayuan_item_yu1	售卖可获得钻石，有几率获得钞票，升级后奖励提高。	6	2	1	
1013	锦鲤 Lv.3	jiayuan_item_yu1	jiayuan_item_yu1	售卖可获得钻石，有几率获得钞票，升级后奖励提高。	6	2	1	
1014	锦鲤 Lv.4	jiayuan_item_yu1	jiayuan_item_yu1	售卖可获得钻石，有几率获得钞票，升级后奖励提高。	6	2	1	
1015	锦鲤 Lv.5	jiayuan_item_yu1	jiayuan_item_yu1	售卖可获得钻石，有几率获得钞票，升级后奖励提高。	6	2	1	
1016	锦鲤 Lv.6	jiayuan_item_yu1	jiayuan_item_yu1	售卖可获得钻石，有几率获得钞票，升级后奖励提高。	6	2	1	
1017	锦鲤 Lv.7	jiayuan_item_yu1	jiayuan_item_yu1	售卖可获得钻石，有几率获得钞票，升级后奖励提高。	6	2	1	
1018	锦鲤 Lv.8	jiayuan_item_yu1	jiayuan_item_yu1	售卖可获得钻石，有几率获得钞票，升级后奖励提高。	6	2	1	
